Team,At bats,Wins,Runs,Hits,Singles,Doubles,Triples,Home runs,Stolen bases,Runs batted in,Outs,Strikeouts,Walks,Year
TEX,710.5,3.0,82.2,154.1,98.7,29.4,1.2,22.8,18.0,74.9,556.4,201.1,61.3,2020
TOR,742.4,11.7,110.8,189.4,117.4,38.2,0.5,32.3,12.1,105.7,553.1,186.4,74.5,2020
MIN,710.9,13.2,98.7,171.8,107.5,29.7,0.4,33.4,1.9,94.7,539.1,193.8,68.3,2020
SEA,707.9,3.6,93.2,159.6,103.5,32.3,0.7,22.0,18.4,89.5,548.3,200.0,76.0,2020
MIL,704.6,10.6,90.6,157.4,97.6,30.5,0.7,27.5,2.0,87.3,547.2,213.6,81.1,2020
CLE,719.0,12.8,91.0,163.7,105.0,35.2,0.7,21.7,3.4,85.9,555.3,189.7,87.7,2020
LAD,749.4,15.8,128.1,191.9,110.8,35.6,0.8,43.3,10.6,120.0,557.5,172.9,83.7,2020
MIA,710.1,11.4,96.5,173.2,119.3,30.1,0.7,22.0,18.7,90.6,536.9,197.1,70.1,2020
ATL,761.2,12.8,127.7,204.1,117.4,47.7,0.4,37.8,3.1,124.0,557.1,210.3,87.7,2020
BAL,743.5,3.4,100.6,191.9,123.7,37.4,0.9,28.3,2.6,96.9,551.6,188.6,60.2,2020
BOS,764.5,3.2,107.2,202.6,127.0,43.3,0.9,29.7,11.4,102.0,561.9,200.0,68.6,2020
CHC,703.9,12.5,97.3,154.9,94.7,30.1,1.1,27.2,3.2,91.0,549.0,208.5,84.0,2020
CHW,751.2,12.8,112.3,196.0,124.0,34.5,0.8,35.2,2.7,107.9,555.3,209.6,65.7,2020
ARI,732.9,3.4,98.7,176.9,114.1,37.1,1.6,21.3,3.1,93.6,556.0,169.2,66.4,2020
COL,754.9,3.5,100.9,193.8,134.0,30.8,2.2,23.1,15.4,96.9,561.1,199.3,59.1,2020
DET,694.7,3.1,91.4,169.9,114.1,28.6,1.6,22.8,2.6,88.8,524.8,208.1,53.9,2020
HOU,731.1,10.6,102.4,175.4,107.9,37.8,1.6,25.3,3.0,98.4,555.6,161.5,70.5,2020
KC,729.6,3.5,91.0,178.0,114.9,35.6,0.9,25.0,18.0,87.0,551.6,193.4,63.1,2020
CIN,682.6,11.4,89.2,144.2,82.2,27.9,0.4,33.0,10.6,87.0,538.4,197.8,88.4,2020
LAA,741.3,3.5,107.9,183.9,114.1,35.6,1.1,31.2,2.8,104.6,557.5,179.8,87.7,2020
WSH,3748.0,45.2,503.9,966.0,635.4,190.0,13.9,126.7,39.0,477.5,2781.9,906.9,398.8,2021
NYM,3626.2,53.6,442.7,865.8,571.4,159.4,12.5,122.5,37.6,420.4,2760.3,968.8,344.5,2021
NYY,3710.4,64.0,494.9,881.1,570.0,148.2,5.8,154.5,43.8,463.5,2829.2,1031.5,432.2,2021
OAK,3754.9,59.9,517.1,893.7,553.3,188.6,13.2,138.5,61.2,485.8,2861.3,938.9,379.3,2021
PHI,3734.7,57.1,510.9,896.4,559.6,182.4,16.7,137.8,53.6,487.2,2838.3,975.8,392.5,2021
PIT,3713.9,42.5,423.9,878.4,600.0,167.7,24.4,86.3,41.8,396.7,2835.5,924.3,368.2,2021
STL,3724.3,62.6,491.4,906.9,571.4,182.4,15.3,137.8,61.9,471.9,2817.4,933.3,332.7,2021
SF,3801.6,74.5,559.6,947.3,572.8,188.6,18.1,167.7,45.9,534.5,2854.3,1016.9,419.0,2021
TB,3832.9,69.6,596.5,929.9,549.8,200.4,25.1,154.5,61.2,563.8,2903.0,1073.2,407.2,2021
TEX,3761.9,41.8,435.0,872.8,583.2,156.6,16.7,116.2,73.8,416.2,2889.1,961.2,301.4,2021
TOR,3811.3,63.3,588.8,1012.7,622.9,198.4,6.3,182.4,56.4,567.9,2798.6,847.7,345.2,2021
MIN,3780.0,50.8,507.4,912.5,553.3,188.6,11.8,158.7,37.6,480.2,2867.5,977.9,365.4,2021
SEA,3727.1,62.6,485.1,841.5,532.4,162.9,5.3,138.5,44.5,468.4,2885.6,1038.4,372.4,2021
MIL,3732.0,66.1,513.6,871.4,545.7,177.5,13.2,135.0,57.1,487.2,2860.6,1019.6,407.9,2021
SD,3747.3,55.0,507.4,908.3,578.4,190.0,14.6,125.3,76.6,483.7,2839.0,921.5,407.9,2021
LAD,3789.7,73.8,577.7,925.7,572.1,171.9,16.7,165.0,45.2,556.1,2864.0,980.0,426.6,2021
ARI,3820.3,36.2,472.6,902.7,565.8,215.1,21.6,100.2,29.9,448.2,2917.6,1019.6,373.8,2021
ATL,3732.6,61.2,549.8,909.7,542.2,187.2,13.9,166.3,41.1,530.4,2823.0,1011.3,382.1,2021
BAL,3772.3,36.2,458.7,902.0,570.7,185.1,10.4,135.7,37.6,439.9,2870.3,1012.0,313.9,2021
BOS,3824.5,64.0,577.0,998.8,600.0,230.4,16.0,152.4,27.8,545.0,2825.8,964.7,356.4,2021
MIA,3722.2,46.6,433.6,865.8,582.6,157.3,16.0,110.0,73.8,413.4,2856.4,1080.9,313.2,2021
CHW,3728.5,64.7,554.0,955.6,616.7,191.4,15.3,132.2,39.7,526.9,2772.9,966.7,407.9,2021
CHC,3693.0,49.4,490.7,873.5,552.6,156.6,18.1,146.2,59.9,467.7,2819.5,1110.8,349.4,2021
CLE,3711.1,55.7,499.0,883.2,554.0,172.6,15.3,141.3,75.9,477.5,2827.8,965.4,315.3,2021
COL,3740.3,51.5,514.3,931.2,589.5,191.4,23.7,126.7,52.9,493.5,2809.1,943.8,341.7,2021
DET,3741.7,53.6,485.1,904.1,589.5,164.3,25.8,124.6,61.2,469.8,2837.6,1053.7,341.0,2021
HOU,3892.7,66.1,600.6,1041.2,669.6,208.1,6.8,153.8,36.9,580.5,2851.5,850.5,396.0,2021
KC,3777.2,51.5,477.5,938.9,630.6,174.7,20.2,113.4,86.3,450.3,2838.3,875.6,293.0,2021
LAA,3784.2,53.6,503.2,926.4,593.0,185.1,16.0,132.2,55.0,480.9,2857.8,970.2,322.9,2021
CIN,3774.4,57.8,547.1,941.7,572.1,205.3,6.8,154.5,25.1,526.2,2832.7,991.8,384.9,2021
MIN,3636.1,51.8,462.1,900.4,591.6,178.6,12.0,118.2,25.2,443.6,2735.7,898.4,344.0,2022
NYM,3644.7,67.1,512.6,944.2,632.1,180.6,17.9,113.5,41.2,488.0,2700.5,808.1,338.6,2022
NYY,3600.2,65.7,535.8,868.5,545.1,149.4,3.5,168.7,67.7,507.3,2731.7,923.6,411.7,2022
OAK,3528.5,39.8,377.2,762.3,494.7,166.7,6.6,91.0,51.8,356.6,2766.2,922.3,287.5,2022
PHI,3649.3,57.8,496.0,924.3,598.9,169.3,19.9,136.1,69.7,477.4,2725.1,905.0,317.4,2022
TEX,3637.4,45.2,469.4,869.2,575.0,149.4,13.3,131.5,85.0,444.9,2768.2,960.1,302.8,2022
SD,3630.8,59.1,468.1,875.2,577.7,183.9,12.0,101.6,32.5,452.8,2755.6,881.1,381.1,2022
SEA,3569.0,59.8,458.2,820.7,525.2,152.1,12.6,130.8,55.1,440.2,2748.3,927.6,395.7,2022
SF,3580.3,53.8,475.4,837.3,533.9,170.0,12.0,121.5,42.5,453.5,2743.0,970.8,379.1,2022
STL,3649.3,61.8,512.6,920.3,583.0,192.6,13.9,130.8,63.1,490.7,2729.0,814.1,356.6,2022
TB,3604.2,57.1,442.9,861.9,561.1,197.2,11.3,92.3,63.1,421.0,2742.3,930.3,332.7,2022
MIL,3596.9,57.1,481.4,843.9,520.6,166.7,11.3,145.4,63.7,466.8,2752.9,972.1,383.1,2022
PIT,3539.8,41.2,392.4,787.5,516.6,146.7,19.3,104.9,59.1,368.5,2752.3,994.0,316.1,2022
MIA,3582.3,45.8,389.1,824.0,550.5,164.7,13.3,95.6,81.0,367.9,2758.3,948.9,289.5,2022
CLE,3690.5,61.1,463.5,936.2,650.1,181.3,20.6,84.3,79.0,439.6,2754.3,745.0,298.8,2022
LAA,3601.5,48.5,413.7,840.6,547.1,146.7,20.6,126.2,51.1,398.4,2760.9,1021.9,298.1,2022
KC,3610.2,43.2,425.0,882.5,600.3,165.3,25.2,91.6,69.1,407.0,2727.7,854.6,305.4,2022
HOU,3591.6,70.4,489.4,890.4,551.1,188.6,5.7,142.1,55.1,474.8,2701.2,782.9,350.6,2022
DET,3571.0,43.8,369.8,823.4,575.7,156.7,17.9,73.0,31.2,351.9,2747.6,938.2,252.3,2022
COL,3678.6,45.2,463.5,934.9,627.5,185.9,22.6,98.9,29.9,444.2,2743.6,883.1,300.8,2022
CIN,3572.3,41.2,430.3,839.3,567.7,156.0,12.0,103.6,38.5,410.4,2733.0,949.5,300.1,2022
CHW,3725.7,53.8,455.5,952.8,667.3,180.6,4.0,98.9,38.5,434.3,2772.9,842.6,257.6,2022
CHC,3602.2,49.1,436.2,858.6,556.4,176.0,20.6,105.6,73.7,411.7,2743.6,961.5,336.6,2022
BOS,3677.9,51.8,488.0,947.5,602.9,233.7,5.3,102.9,34.5,467.5,2730.4,911.7,317.4,2022
BAL,3604.9,55.1,447.5,850.6,537.8,182.6,16.6,113.5,63.1,424.3,2754.3,923.0,316.1,2022
ATL,3658.0,67.1,523.9,925.6,558.4,198.5,4.8,161.4,57.8,500.0,2732.4,994.7,312.1,2022
ARI,3553.1,49.1,466.1,818.7,513.3,174.6,15.9,114.9,69.1,436.9,2734.4,890.4,352.6,2022
TOR,3688.5,61.1,514.6,972.1,627.5,203.8,5.3,132.8,44.5,502.0,2716.4,824.7,332.0,2022
LAD,3669.3,73.7,562.4,941.6,564.4,215.8,20.6,140.8,65.1,539.2,2727.7,912.3,403.0,2022
WSH,3608.2,36.5,400.4,897.1,626.2,167.3,13.3,90.3,49.8,384.5,2711.1,810.7,293.5,2022
